from,to,result,guards,interlock_refs,justification,label,step,context_provenance
OFFLINE,INIT,TRANSITIONED,none,,operator power-on,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,1,T_probe_K=0.01 [FridgeConfig / 3D sequence probe]; vib_amplitude_m=4.651e-09 [vibration_transfer (canonical chain)]
INIT,PREP_VACUUM,TRANSITIONED,interlock_chain_ok is_true True [INIT self-check],,self-checks complete,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,2,T_probe_K=0.01 [FridgeConfig / 3D sequence probe]; vib_amplitude_m=4.651e-09 [vibration_transfer (canonical chain)]
PREP_VACUUM,PREP_VACUUM.PUMPDOWN,TRANSITIONED,none,,begin evacuation,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,3,T_probe_K=0.01 [FridgeConfig / 3D sequence probe]; vib_amplitude_m=4.651e-09 [vibration_transfer (canonical chain)]
PREP_VACUUM.PUMPDOWN,PREP_VACUUM.BAKEOUT,TRANSITIONED,none,,bakeout requires rough vacuum first (E01 procedure),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,4,T_probe_K=0.01 [FridgeConfig / 3D sequence probe]; vib_amplitude_m=4.651e-09 [vibration_transfer (canonical chain)]
PREP_VACUUM.BAKEOUT,PREP_VACUUM.POST_BAKEOUT_VERIFY,TRANSITIONED,none,,bakeout schedule complete (E01),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,5,T_probe_K=0.01 [FridgeConfig / 3D sequence probe]; vib_amplitude_m=4.651e-09 [vibration_transfer (canonical chain)]
PREP_VACUUM.POST_BAKEOUT_VERIFY,COOLDOWN,TRANSITIONED,P_H2_Pa <= 1e-12 [CHAMBER_STATE post_bakeout target],"IL-05,IL-06",cooldown requires post-bakeout UHV (contamination control),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,6,T_probe_K=0.01 [FridgeConfig / 3D sequence probe]; vib_amplitude_m=4.651e-09 [vibration_transfer (canonical chain)]
COOLDOWN,COOLDOWN.PRECOOL_UPSTREAM,TRANSITIONED,none,,staged chain begins upstream,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,7,T_probe_K=0.01 [FridgeConfig / 3D sequence probe]; vib_amplitude_m=4.651e-09 [vibration_transfer (canonical chain)]
COOLDOWN.PRECOOL_UPSTREAM,COOLDOWN.DILUTION_CONDENSE,TRANSITIONED,stage_4K_ready is_true True [canonical stage chain],,dilution condensation requires the 4 K stage,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,8,T_probe_K=0.01 [FridgeConfig / 3D sequence probe]; vib_amplitude_m=4.651e-09 [vibration_transfer (canonical chain)]
COOLDOWN.DILUTION_CONDENSE,COOLDOWN.BASE_APPROACH,TRANSITIONED,stage_100mK_ready is_true True [canonical stage chain],,base approach requires 100 mK,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,9,T_probe_K=0.01 [FridgeConfig / 3D sequence probe]; vib_amplitude_m=4.651e-09 [vibration_transfer (canonical chain)]
COOLDOWN.BASE_APPROACH,MODE_A_BASELINE,TRANSITIONED,T_probe_K <= 0.0105 [FridgeConfig T_fridge_K (5% band)],,baseline requires the sample thermalized at base,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,10,T_probe_K=0.01 [FridgeConfig / 3D sequence probe]; vib_amplitude_m=4.651e-09 [vibration_transfer (canonical chain)]
