name,parent,purpose,entry_conditions,exit_conditions,sensors_monitored,validation_conditions,interlocks,thermal_configuration,gas_configuration,optical_configuration,microwave_configuration,cryogenic_configuration,outputs_produced,physics_modules,recovery_behavior,fault_behavior,hardware_enabled,hardware_disabled,label
OFFLINE,,machine de-energized at ambient; maintenance base,from SHUTDOWN.VENT_PREP complete or FAULT_LATCHED acknowledged,operator initiates INIT,none (model quantities idle),none (pre-operational),IL-12 (during maintenance regen),ambient 300 K,chamber vented or static,all optical paths dark,MW off,all cryogenic stages off,none,none,n/a (base state),IMPOSSIBLE-class violation or unrecoverable trip latches FAULT_LATCHED (operator acknowledgment required),cryobaffle,c13_feed;charcoal_regen;dilution;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant;vacuum_pumping,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
OFFLINE.MAINTENANCE,OFFLINE,maintenance access incl. sorb/charcoal regeneration,OFFLINE reached; access declared,maintenance complete,P_H2/P_CH4 (chamber state dict) during regen pumping,"E02 (NEG), E03 (77K charcoal cryotrap -- registry: NOT INSTALLED, DESIGN_SPECIFIED)",IL-12 (regen requires IVC valve closed),ambient,regen outgassing pumped; IVC valve CLOSED,dark,off,off,engineering_status entries (registry),none,"close regen, return to OFFLINE",IMPOSSIBLE-class violation or unrecoverable trip latches FAULT_LATCHED (operator acknowledgment required),charcoal_regen;cryobaffle;vacuum_pumping,c13_feed;dilution;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
INIT,,"power-on self-checks of controller, DAQ, and interlock chain of the theoretical machine model",operator start from OFFLINE,self-checks complete,interlock chain integrity (all 18 interlock predicates evaluable),engineering-readiness ledger E01..E10 statuses (registry),all (chain test),ambient,roughing/turbo pumping enabled,dark,off,off,machine_fsm_summary.json,none,return to OFFLINE on failed self-check,IMPOSSIBLE-class violation or unrecoverable trip latches FAULT_LATCHED (operator acknowledgment required),cryobaffle;vacuum_pumping,c13_feed;charcoal_regen;dilution;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
PREP_VACUUM,,establish UHV per the canonical chamber states,INIT complete,post-bakeout verification satisfied,"P_H2_Pa, P_CH4_Pa (canonical chamber-state quantities)","E01 (250C/48h UHV bakeout), E02 (NEG pump), E04 (RGA readiness)",IL-05/IL-06 downstream (clearances originate here),bakeout thermal cycle (E01 parameters),pumpdown -> bakeout -> post-bakeout (P_H2 1e-10 -> 1e-12 Pa per CHAMBER_STATE),dark,off,off,measured_parameters/chamber-state references,none,re-enter BAKEOUT on failed verification,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;vacuum_pumping,c13_feed;charcoal_regen;dilution;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
PREP_VACUUM.PUMPDOWN,PREP_VACUUM,rough/turbo pumpdown to bakeout-start vacuum,PREP_VACUUM entered,pumpdown floor reached (NOT_IMPLEMENTED: no canonical pumpdown curve),"P_H2_Pa, P_CH4_Pa",E02,IL-12,ambient,"pumping, IVC open",dark,off,off,none,none,hold and continue pumping,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;ivc_valve;vacuum_pumping,c13_feed;charcoal_regen;dilution;he_dose;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
PREP_VACUUM.BAKEOUT,PREP_VACUUM,250C/48h UHV bakeout (gate E01 parameters),pumpdown floor reached,bakeout schedule complete,"chamber wall temperature (bakeout schedule), P_H2_Pa",E01,IL-12,bakeout thermal cycle,outgassing pumped,dark,off,off,chamber-state transition pre->post bakeout,none,extend bakeout on high residuals,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;ivc_valve;vacuum_pumping,c13_feed;charcoal_regen;dilution;he_dose;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
PREP_VACUUM.POST_BAKEOUT_VERIFY,PREP_VACUUM,verify post-bakeout residuals and RGA clearances,bakeout complete,P_H2 at post-bakeout target; RGA clearances held,"P_H2_Pa (target 1e-12 Pa post-bakeout), P_CH4_Pa, RGA species scan",E04; clearance conditions feeding IL-05/IL-06,"IL-05, IL-06",cooling from bakeout,static UHV,dark,off,off,chamber-state record,none,return to BAKEOUT on failed verification,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;vacuum_pumping,c13_feed;charcoal_regen;dilution;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter;upstream_plant,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
COOLDOWN,,staged cryogenic cooldown along the canonical intercept chain 300K->77K->4K->1K->100mK->10mK,post-bakeout verification satisfied,base temperature reached,"stage temperatures (canonical chain), switch leak forecast","E05 (Ag sinter interface), E06 (suspension), RTB_JT plant gate",IL-03 inverse (switch CLOSED is the thermalization state; laser structurally off),switch CLOSED thermalization,static UHV,dark,off,upstream RTB/JT-class plant + dilution condensation,cryo_stack_3d_budget.csv references,radiation_paths (chain),hold at last stable stage; re-approach,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
COOLDOWN.PRECOOL_UPSTREAM,COOLDOWN,upstream plant precool toward 4 K (RTB/JT-class gate; LN2 stage NOT_IMPLEMENTED in this repository),COOLDOWN entered,4 K stage stable,77K/4K stage temperatures,RTB_JT_OPTIONAL_COOLING_PLANT gate,none additional,upstream stages active,static UHV,dark,off,RTB/JT-class plant,none,radiation_paths,hold at 77 K intercept,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;dilution;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
COOLDOWN.DILUTION_CONDENSE,COOLDOWN,dilution-refrigerator condensation and mK approach,4 K stable,100 mK stage reached,1K/100mK stage temperatures,dilution stage (FridgeConfig),FSM-IL-17,mixing-chamber circulation,static UHV,dark,off,dilution active,none,none,recondense on loss of circulation,"guarded transition to SAFE_RECOVERY (all sources off, ports closed, switch CLOSED for rethermalization)",cryobaffle;dilution;upstream_plant;vacuum_pumping,c13_feed;charcoal_regen;he_dose;ivc_valve;laser;microwave;process_port;sc_heat_switch;sense_shutter,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
