from,to,kind,guards,interlock_refs,justification,label
OFFLINE,OFFLINE.MAINTENANCE,ALLOWED,none,,maintenance access from the base state,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
OFFLINE.MAINTENANCE,OFFLINE,ALLOWED,ivc_valve_closed is_true True [IL-12],IL-12,maintenance complete,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
OFFLINE,INIT,ALLOWED,none,,operator power-on,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
INIT,PREP_VACUUM,ALLOWED,interlock_chain_ok is_true True [INIT self-check],,self-checks complete,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
INIT,OFFLINE,ALLOWED,none,,failed self-check returns to base,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
PREP_VACUUM,PREP_VACUUM.PUMPDOWN,ALLOWED,none,,begin evacuation,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
PREP_VACUUM.PUMPDOWN,PREP_VACUUM.BAKEOUT,ALLOWED,none,,bakeout requires rough vacuum first (E01 procedure),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
PREP_VACUUM.BAKEOUT,PREP_VACUUM.POST_BAKEOUT_VERIFY,ALLOWED,none,,bakeout schedule complete (E01),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
PREP_VACUUM.POST_BAKEOUT_VERIFY,PREP_VACUUM.BAKEOUT,ALLOWED,none,,failed residual verification re-enters bakeout,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
PREP_VACUUM.POST_BAKEOUT_VERIFY,COOLDOWN,ALLOWED,P_H2_Pa <= 1e-12 [CHAMBER_STATE post_bakeout target],"IL-05,IL-06",cooldown requires post-bakeout UHV (contamination control),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
COOLDOWN,COOLDOWN.PRECOOL_UPSTREAM,ALLOWED,none,,staged chain begins upstream,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
COOLDOWN.PRECOOL_UPSTREAM,COOLDOWN.DILUTION_CONDENSE,ALLOWED,stage_4K_ready is_true True [canonical stage chain],,dilution condensation requires the 4 K stage,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
COOLDOWN.DILUTION_CONDENSE,COOLDOWN.BASE_APPROACH,ALLOWED,stage_100mK_ready is_true True [canonical stage chain],,base approach requires 100 mK,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
