gap_id,claim_or_parameter,current_status,why_gap_matters,affected_gate_or_risk,required_source_or_measurement,recommended_next_action
G001,Bibliography coverage: dilution refrigerator foundational reference (Lounasmaa1974),NO DIRECT CITATION,"general DR operation, base-T behaviour",source coverage; affects reviewer confidence,Add direct citation of Lounasmaa1974 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G002,Bibliography coverage: millikelvin technology reference (Betts1989),NO DIRECT CITATION,general DR + mK instrumentation,source coverage; affects reviewer confidence,Add direct citation of Betts1989 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G003,Bibliography coverage: low-T experimental techniques reference (Richardson1988),NO DIRECT CITATION,low-temperature methods,source coverage; affects reviewer confidence,Add direct citation of Richardson1988 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G004,Bibliography coverage: He-4 thermal conductivity at low T (Pollack1969),NO DIRECT CITATION,He-4 thermal properties,source coverage; affects reviewer confidence,Add direct citation of Pollack1969 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G005,Bibliography coverage: DR thermal anchoring (Frossati1978),NO DIRECT CITATION,wiring/anchor heat loads,source coverage; affects reviewer confidence,Add direct citation of Frossati1978 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G006,Bibliography coverage: diamond thermal conductivity at low T (Anthony1990),NO DIRECT CITATION,diamond thermal properties for sample heat balance,source coverage; affects reviewer confidence,Add direct citation of Anthony1990 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G007,Bibliography coverage: cryogenic material thermal conductivity review (Woodcraft2005),NO DIRECT CITATION,support material thermal conductivity,source coverage; affects reviewer confidence,Add direct citation of Woodcraft2005 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G008,Bibliography coverage: cryogenic thermal conductivity below 1 K (RunyanJones2008),NO DIRECT CITATION,support material conductivity,source coverage; affects reviewer confidence,Add direct citation of RunyanJones2008 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G009,Bibliography coverage: Kevlar at cryogenic temperatures (Rule1996),NO DIRECT CITATION,Kevlar support specification,source coverage; affects reviewer confidence,Add direct citation of Rule1996 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G010,Bibliography coverage: cryogenic instrumentation (Risegari2004),NO DIRECT CITATION,low-T instrumentation,source coverage; affects reviewer confidence,Add direct citation of Risegari2004 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G011,Bibliography coverage: NV review (DohertyPhysRep2013),NO DIRECT CITATION,NV physics foundational reference,source coverage; affects reviewer confidence,Add direct citation of DohertyPhysRep2013 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
