map_id,item,equation_or_claim,parameter,source_key,source_type,directness,measured_in_this_system,status,action_needed,notes
SM001,tau_c canonical threshold,SNR>=5 + eps_thermo<1% (v3.3),tau_c_threshold,DERIVED,DERIVED,DERIVED,false,DERIVED,N/A — derived from model,v3.3 canonical=292 µs. 27.7 µs (v3.0) SUPERSEDED.
SM002,C_contr at 10 mK,NV ODMR contrast at 10 mK,C_contr_10mK,Sangtawesin2019;TrusheimPRL2020,LITERATURE,INDIRECT,false,UNKNOWN,Measure ODMR at 10 mK on this sample,CO-EQUAL BOTTLENECK with tau_c. Room-T value does not predict 10 mK.
SM003,G_eff assumption,T_s=T_fridge+P_total/G_eff,G_eff,Pobell2007;SwartzPohl1989,TEXTBOOK,INDIRECT,false,ASSUMED,Step-response after Ag sinter fabrication,alpha_K=2000 W/m²/K⁴ ±50% [INDIRECT]; sinter not fabricated
SM004,Ag sinter interface area,45 cm² design,Ag_sinter_area,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Fabricate; measure actual area,Not fabricated [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM005,Ag sinter fabrication status,Not fabricated,Ag_sinter_fabrication_status,,DESIGN,UNKNOWN,false,NOT_FABRICATED,Fabricate Ag sinter on diamond substrate,BOM item B015 [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM006,Kevlar 49 thermal conductivity,κ≈5e-4 W/m/K at 10 mK,Kevlar_49_thermal_conductivity,Barucci2005,LITERATURE,INDIRECT,false,INDIRECT,Measure fiber conductance via step-response after fabrication,Literature value for Kevlar 49 at mK temperatures [directness normalized from LITERATURE_BOUND: literature bounds the value but not the exact system claim] [status normalized from LITERATURE_BOUND: literature bounds value but not exact system claim]
SM007,Kevlar 49 tension properties,Tensile strength specified,Kevlar_49_tension_properties,,MANUFACTURER,MANUFACTURER_SPEC,false,DESIGN_SPECIFIED,Tension test at cryogenic T after multiple cycles,
SM008,Kevlar end termination,Crimp/epoxy termination,Kevlar_end_termination_strength,,DESIGN,UNKNOWN,false,UNVERIFIED,Slip test at cryogenic T after 10 thermal cycles,Differential thermal contraction risk; critical safety item [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM009,G-10CR thermal conductivity,κ from Woodcraft tabulation,G10CR_thermal_conductivity,Woodcraft2005,LITERATURE,INDIRECT,false,INDIRECT,Measure actual flexure conductance,Not measured for this geometry [directness normalized from LITERATURE_BOUND: literature bounds the value but not the exact system claim] [status normalized from LITERATURE_BOUND: literature bounds value but not exact system claim]
SM010,G-10CR flexure properties,Flexure stiffness/lateral compliance,G10CR_flexure_properties,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Stiffness measurement; cooldown cycle test,[directness normalized from REQUIRES_SOURCE: no source yet identified]
SM011,OFHC thermal intercept clamps,Staged at 4K/1K/100mK/10mK,thermal_intercept_clamps,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Contact-resistance measurement per stage,BOM B010-B014 [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM012,Gold-plated copper anchor blocks,Low-Rcontact via gold plating,anchor_block_conductance,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Step-response measurement per block,BOM B007 [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM013,Support heat-load forecast,P_support≈0.167 nW (Kevlar/G-10CR),P_support_hybrid,,MODEL,ASSUMED,false,ASSUMED,Fabricate; step-response thermometry,Kevlar/G-10CR intercepted suspension; not fabricated
SM014,Support vibration PSD,S_vib at NV position,vibration_PSD,Oxford Instruments datasheet,MANUFACTURER,MANUFACTURER_SPEC,false,MANUFACTURER_SPEC,In situ PSD at NV position,Manufacturer spec for fridge platform; not at NV position
SM015,Residual H2 pressure pre-bakeout,~1e-10 Pa estimate,residual_H2_pressure,,ESTIMATE,ASSUMED,false,BLOCKED,Execute bakeout + RGA,BLOCKED — bakeout not executed; theta_H2=0.32% > 0.1% limit
SM016,H2 coverage model,theta=Phi*t/n_mono kinetic theory,H2_coverage,,MODEL,ASSUMED,false,ASSUMED,Bakeout + RGA + coverage model,Sticking coefficient s_H2=0.3 [ASSUMED]
SM017,Bakeout temperature,250°C UHV bakeout,bakeout_temperature,O_Hanlon2003,LITERATURE,INDIRECT,false,DESIGN_SPECIFIED,Execute bakeout; log temperature,NOT EXECUTED
SM018,Bakeout duration,48 h,bakeout_duration,O_Hanlon2003,LITERATURE,INDIRECT,false,DESIGN_SPECIFIED,Execute bakeout; log duration,NOT EXECUTED
SM019,Cryotrap performance,77 K charcoal,cryotrap_performance,CERN2020,LITERATURE,INDIRECT,false,DESIGN_SPECIFIED,Install + measure pumping speed,NOT INSTALLED
SM020,NEG pump speed,SAES St707 spec,NEG_pump_speed,SAES datasheet,MANUFACTURER,MANUFACTURER_SPEC,false,DESIGN_SPECIFIED,Install + RGA verify,NOT INSTALLED
SM021,RGA sensitivity,FC-corrected species pressure,RGA_sensitivity,,DESIGN,UNKNOWN,false,NOT_INSTALLED,Install RGA; calibrate FC factor,"BLOCKING D10a, B3, D2 [directness normalized from REQUIRES_SOURCE: no source yet identified]"
SM022,QCM noise floor,Sub-0.1 Hz required at cryogenic T,QCM_noise_floor,,DESIGN,REQUIRES_EXPERIMENT,false,UNVERIFIED,Cryogenic QCM noise floor test,He-3 monolayer shift ≈0.09 Hz requires sub-0.1 Hz stability
SM023,QCM cryogenic stability,Drift rate at operating T,QCM_stability,,DESIGN,REQUIRES_EXPERIMENT,false,UNVERIFIED,Cryogenic drift test,
SM024,QCM dose correlation,Sauerbrey formula,QCM_dose_correlation,Sauerbrey1959,LITERATURE,DERIVED,false,REQUIRES_EXPERIMENT,Calibrate QCM vs known coverage,Sauerbrey is direct for AT-cut; viscoelastic correction at low T unknown
SM025,PMB flux,Pulsed molecular beam source,PMB_flux,Scoles1988,LITERATURE,INDIRECT,false,DESIGN_SPECIFIED,Install PMB; calibrate flux vs pressure,NOT INSTALLED
SM026,PMB dose,Dose per pulse,PMB_dose,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Define and calibrate dose protocol,[directness normalized from REQUIRES_SOURCE: no source yet identified]
SM027,Cryo-baffle shutter timing,Actuation time at cryogenic T,cryo_baffle_shutter_timing,,DESIGN,REQUIRES_EXPERIMENT,false,UNVERIFIED,Test shutter timing at cryogenic T,
SM028,Cryo-baffle thermal load,Radiation load to sample,cryo_baffle_thermal_load,,DESIGN,REQUIRES_EXPERIMENT,false,UNVERIFIED,Measure baffle radiation load to sample,
SM029,Independent 3He line,Isolated dose line,independent_3He_line,,DESIGN,UNKNOWN,false,NOT_INSTALLED,Fabricate; leak-test; RGA-verify isolation,BOM B029 [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM030,Independent 4He line,Isolated reference line,independent_4He_line,,DESIGN,UNKNOWN,false,NOT_INSTALLED,Fabricate; leak-test,BOM B030 [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM031,Helium isotope purity,>99.9% target,isotope_purity_3He,Supplier spec,MANUFACTURER,MANUFACTURER_SPEC,false,DESIGN_SPECIFIED,Verify by RGA or mass-spec,
SM032,CH4 process line,LCVD precursor delivery,CH4_process_line,,DESIGN,UNKNOWN,false,NOT_INSTALLED,Fabricate; verify Mode B isolation,BOM B031 [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM033,Purge/pumpout path,Mode B inert purge + scroll pump,purge_line,,DESIGN,UNKNOWN,false,NOT_INSTALLED,Fabricate; test pumpout efficiency,BOM B032/B033 [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM034,Gas isolation leak rate,<1e-10 Pa m3/s target,gas_isolation_leak_rate,,DESIGN,REQUIRES_EXPERIMENT,false,UNVERIFIED,Leak test all gas lines,
SM035,Optical absorption eta_abs,0.05 estimate,eta_abs,DohertyPhysRep2013,LITERATURE,INDIRECT,false,ASSUMED,Transmission/reflection at 532 nm,Order-of-magnitude only
SM036,Femtosecond pulse energy,10 fJ design,E_pulse,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Measure at sample,[directness normalized from REQUIRES_SOURCE: no source yet identified]
SM037,Pulse duration,100 fs design,tau_pulse,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Pulse characterization (autocorrelator),[directness normalized from REQUIRES_SOURCE: no source yet identified]
SM038,Repetition rate,1 MHz design,f_rep,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Measure actual rep rate,[directness normalized from REQUIRES_SOURCE: no source yet identified]
SM039,Pockels cell / pulse picker,Replaces AOM for fs gating,Pockels_cell,,DESIGN,UNKNOWN,false,NOT_INSTALLED,Install; test at operating rep rate,BOM B043 [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM040,AOM limitation for 100 fs pulses,~100 ns switching incompatible,AOM_limitation,,DESIGN,DERIVED,false,REJECTED_DESIGN_ELEMENT,Use Pockels cell instead,AOM switching time fundamentally incompatible with 100 fs pulse gating [directness normalized from DIRECT_PHYSICS: first-principles physics derivation from stated inputs]
SM041,Microwave CPW dissipation,P_mw=1 nW assumed,microwave_dissipation,,MODEL,ASSUMED,false,ASSUMED,Directional coupler measurement + step-response,Cable loss estimated; ΔT_mw=100 µK vs 104 µK threshold (marginal)
SM042,Microwave attenuation chain,Staged attenuators at 4K/1K/100mK/10mK,microwave_attenuation_chain,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Install; verify attenuation and heat load,BOM B049 [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM043,Cryogenic wiring heat load,P_cond=2.46 nW assumed,cryogenic_wiring_heat_load,RunyanJones2008,LITERATURE,INDIRECT,false,ASSUMED,Step-response thermometry,Thermocoax + manganin estimate
SM044,Sample-stage thermal sensor calibration,RuO2 calibration,temperature_sensor_calibration,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Calibrate vs NIST-traceable standard,NOT INSTALLED [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM045,Heater step-response measurement,G_eff measurement protocol,heater_step_response_power,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Install heater; perform step-response,Critical: heater must be at true sample thermal node [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM046,Vibration-to-heat conversion,Mode-local model within Mode D,vibration_to_heat_conversion,,MODEL,REQUIRES_EXPERIMENT,false,UNKNOWN,Model + measurement,Mode-local within Mode D only
SM047,NV depth,d_NV=10 nm SRIM target,d_NV,Pezzagna2010,LITERATURE,INDIRECT,false,ASSUMED,SIMS or PL depth post-implant,Signal scales as d^-6; large sensitivity
SM048,NV density,Design target,NV_density,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,PL counting,TBD [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM049,T2*,10 µs literature range,T2_star,Sangtawesin2019,LITERATURE,INDIRECT,false,ASSUMED,Ramsey in cryostat on this sample,5-20 µs range
SM050,T2,UNKNOWN,T2,,TBD,REQUIRES_EXPERIMENT,false,UNKNOWN,Hahn echo in cryostat,
SM051,Surface spin density,n_s=3.3e18 m^-2 from graphite analogy,surface_spin_density,GreywallPRB1990;MorhardPRB1996,LITERATURE,INDIRECT,false,ASSUMED,TPD or QCM on F-diamond,Graphite analogy; sticking on F-diamond UNKNOWN
SM052,Surface termination,F-termination via XeF2 or CF4 plasma,surface_termination,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,XPS + AFM post-termination,XPS verification required [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM053,Helium mean free path,lambda=kT/(√2πd²P),helium_mean_free_path,Bird1994;Roth1990,TEXTBOOK,DIRECT,false,DERIVED,Gas kinetics DERIVED_CHECK,"λ=0.46 m at T_fridge=10 mK, P=1µPa"
SM054,Knudsen number,Kn=lambda/L_char,Kn,Bird1994,TEXTBOOK,DIRECT,false,DERIVED,Gas kinetics DERIVED_CHECK,Kn=46 (molecular flow regime)
SM055,Molecular flux,UNKNOWN,molecular_flux,,TBD,REQUIRES_EXPERIMENT,false,UNKNOWN,PMB flux calibration,
SM056,LCVD precursor delivery,CH4 + fs laser,LCVD_precursor,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Develop LCVD process,Mode B; LCVD not demonstrated at 10 mK [directness normalized from REQUIRES_SOURCE: no source yet identified]
SM057,LCVD process isolation,"Hardware interlock (IL-01, IL-02)",LCVD_process_isolation,,DESIGN,UNKNOWN,false,DESIGN_SPECIFIED,Install interlocks; test mode transitions,"BOM B032,B059,B070 [directness normalized from REQUIRES_SOURCE: no source yet identified]"
SM058,LCVD surface damage,UNKNOWN at 10 mK,LCVD_surface_damage,,TBD,REQUIRES_EXPERIMENT,false,UNKNOWN,Test LCVD on dummy sample; XPS before/after,Risk: LCVD chemistry may destroy F-termination or NV layer
SM059,C-13 diamond growth status,Not demonstrated,C13_diamond,,TBD,REQUIRES_EXPERIMENT,false,NOT_DEMONSTRATED,Separate development program,Quarantined as speculative future work; not part of current verdict
SM060,Graphene/CNT future-work claim,Future work only,graphene_CNT,,TBD,REQUIRES_EXPERIMENT,false,SPECULATIVE_FUTURE_WORK,Independent validation outside this framework,Quarantined as speculative future work; not part of current verdict
