fix_id,name,priority,status,gates,gate_delta,description,new_failure_modes
F01,UHV All-Metal Build,REQUIRED,NOT_INSTALLED,B4;B7,CONDITIONAL: enables 250°C/450°C bake; P_H2 achievable in principle; not yet built,"CF flanges, Cu gaskets, all-metal valves, bake-compatible feedthroughs (<1e-11 Pa.m3/s/m2). Viton O-rings limited bake to 120°C; CF enables 250-450°C. Ref: Jousten Handbook of Vacuum Technology (2016), outgassing rates Table 9.3.",CF flange leaks if torqued incorrectly; retorque after each bake; check with He leak detector.
F02,Differentially Pumped Micro-Nozzle,REQUIRED,NOT_INSTALLED,B5,"CONDITIONAL: reduces P_CH4 at sensing zone but does NOT eliminate need for staged purge. Capillary (0.5mm ID, 100mm): C_mol=1.61e-7 m3/s. P_CH4_sensing = P_nozzle * C_cap/S_pump_local = 1.6e-9 Pa — still 300x above 5e-12 Pa target. Conclusion: nozzle reduces gas load but staged purge after growth remains mandatory.",0.5mm capillary aimed at growth zone; conductance-limited to sensing zone; local 10L/s ion pump. Labyrinth baffle between growth zone and NV region.,Nozzle clogging from carbon deposition; backstreaming if ion pump fails; cryo-condensation in capillary.
F03,Three-Shutter Stack,REQUIRED,NOT_INSTALLED,B5;A3,"CONDITIONAL: radiation shielding improved (ε_eff=0.0068 vs single ε=0.02). Does NOT fix B5 gas contamination (CH4 exposure is chemical, not radiative). B5 requires geometric baffle blocking CH4 gas path to NV surface. Each shutter has position sensor; sensing cannot begin if any shutter not confirmed closed.","Three 4K OFHC Cu shutters: growth shutter (between LCVD zone and 4K plate), purge shutter (between gas manifold and sensing zone), sensing shutter (over objective). Each independently actuated via G10CR flex drive from 300K.",Motor vibration on actuation (100s settling each); flex drive thermal short (intercept at 4K); debris from shutter mechanism onto optical path.
F04,Witness Coupons,REQUIRED,NOT_INSTALLED,B5;D11;D12_G23,CONDITIONAL: witness coupons add experimental evidence but do not constitute gate-passing measurements. Required before claiming surface cleanliness or He-3 coverage.,"Two coupons adjacent to diamond: (1) growth-zone coupon (exposed to LCVD plume — worst case); (2) shielded sensing-zone coupon (behind shutter — best case). Characterise by XPS (elemental), Raman (sp2/sp3 carbon), AFM (roughness), SIMS (H depth profile) after each Mode A/B/C cycle. Accept Mode D only if sensing-zone coupon passes cleanliness criteria.",Coupons must be compatible with cryogenic cycling; mounting must not shadow NV. Transfer to ex-situ characterisation breaks vacuum — accept only if in-situ RGA also passes.
F05,RGA All-Species Acceptance Thresholds,REQUIRED,NOT_INSTALLED,B3;B4,"UNKNOWN->CONDITIONAL once RGA + bakeout performed. All-species thresholds (conservative, based on contamination fraction < 0.1% per species per t_meas=1e4s):","H2<2e-12Pa, CH4<5e-12Pa, H2O<1e-11Pa, CO<5e-12Pa, CO2<1e-11Pa, N2/O2<1e-11Pa, CxHy<5e-12Pa. RGA must scan full 1-200 amu range; detection limit < 5e-14 Pa partial pressure (Inficon spec). Mode D hard-interlocked on ALL thresholds passing, not only CH4/H2.","RGA filament outgasses on first use; bake RGA head separately. Ion gauge and RGA measure at pump port, not at sample — may underestimate local pressure."
F06,Pump Train: NEG + Ion + Cryo,REQUIRED,NOT_INSTALLED,B1;B2,CONDITIONAL: full pump train accelerates Mode B but does not eliminate bakeout requirement.,"77K charcoal cryotrap (50g, OFHC Cu): ~100 L/s for CH4 (P_vap(CH4,77K)<1e-8 Pa). 4K cryotrap (Cu cold plate, 200cm2): ~1000 L/s for H2O, CO2, organics. SAES St707 NEG (200g): ~5 L/s for H2, CO, N2 (activated at 400°C/1h). Ion pump (Gamma Vacuum 10L/s): noble gases, CH4, non-NEG-pumpable species. Regeneration: warm charcoal to 300K with IVC valve closed; vent to exhaust; allow 24h outgassing before re-cooling. All-metal valve required between trap and IVC.",NEG saturation after ~100 cycles (replace; ASSUMED 100-cycle lifetime); ion pump vibration (mount on vibration-isolated stand); charcoal gas burst on regeneration (hard interlock IL-12 required).
F07,Residual Hydrogen Mitigation,REQUIRED,NOT_INSTALLED,B4,CONDITIONAL: post-bake P_H2 achievable in principle; not executed.,"250°C/48h bakeout (CF system): P_H2 drops from ~1e-10 to ~5e-12 Pa (CERN Outgassing Handbook 2020). UV/ozone cleaning of internal surfaces BEFORE assembly (not after — may damage NV termination). Hot-filament cleaning: NOT recommended near diamond/NV region (H radical generation). NEG activation protocol: 400°C/1h in separate oven, then install. Post-bake RGA verification required (Gate B3/F05). Ref: P_H2 limits from Benvenuti & Calder 1999 Vacuum 53:267.",Bake may desorb contaminants from warm surfaces onto NV crystal if crystal warms; keep NV at 4K during bake using SC switch open + 4K heat path maintained.
F08,Surface Re-Termination / Recovery Protocol,REQUIRED,NOT_INSTALLED,D11;D12_G23,CONDITIONAL: new gate required. F-termination cannot be assumed to survive LCVD chemistry.,"After each Mode A/B/C cycle, before Mode D: verify surface termination by XPS. F-termination: XeF2 gas at 100°C, 5 min; XPS confirms F 1s peak at 686 eV (Ostrovskaya 2003 Diamond Rel. Mat.). O-termination (alternative): O2 plasma 30W, 5 min; O 1s peak at 531 eV. H from CH4 decomposition during LCVD may convert F-termination to H-termination: surface conductivity changes, NV charge state changes, E_b for He changes. Do NOT proceed to Mode D without XPS-confirmed termination.",XPS requires sample transfer to ex-situ tool if not in-situ; in-situ XPS requires additional port. XeF2 is toxic; requires secondary containment and scrubber.
F09,Geometric Baffle / Labyrinth Between LCVD Zone and NV Region,REQUIRED,NOT_INSTALLED,B5,CONDITIONAL: geometric shielding reduces direct CH4 line-of-sight to NV surface. Does not eliminate need for timed purge; reduces steady-state CH4 exposure during growth.,Labyrinth: 3 baffled right-angle turns between LCVD plume and NV region. Material: OFHC Cu at 4K; thermally anchored to 4K plate. Each baffle reduces direct-path molecular flux by ~10x (geometric factor). 3-stage labyrinth: ~1000x reduction in direct-path CH4 flux to NV zone. CH4 still reaches NV by diffusion (time constant = V_labyrinth / C_baffle); estimates suggest 100-1000x longer time before NV coverage reaches 0.1%.,Labyrinth restricts optical access; requires aligned bore for laser and collection path. Carbon deposition on baffle walls over multiple growth cycles.
F10,Cryo-QCM at Sensing Surface,RECOMMENDED,NOT_INSTALLED,B5;D11,"CONDITIONAL: QCM provides real-time adsorption measurement, replacing model estimates for B5/D11.",AT-cut 5 MHz quartz crystal adjacent to diamond in sensing zone. Sauerbrey sensitivity: 5.66e6 Hz/(kg/m2) = 0.057 Hz/(ng/cm2). He-3 monolayer (1.65 ng/cm2) shifts frequency by approx 0.09 Hz. CH4 monolayer (est.) shifts by approx 0.15 Hz. Both exceed 1 mHz noise floor [DESIGN_SPECIFIED]. Cryogenic operation at 10mK: frequency stability improves at low T (athermal point). Ref: White & Coltice 2014 Cryogenics 64:1 for cryo-QCM performance.,QCM crystal must be thermally anchored to 4K (not 10mK — thermal mass would slow recooling); electrical feedthrough adds heat load; QCM near NV may create local charge noise.
