gate_id,mode,name,equation,computed,threshold,unit,status,reason,fix,measured_in_this_system,source_directness,can_PASS_now,required_measurement,blocked_by,notes
A1,B (Material Processing / LCVD Growth),MC Protected (SC switch open),G_sw_open*(T_4K-T_MC)<0.01*P_cool_MC; SC switch DESIGN_SPECIFIED,3.99e-08,2.0000000000000003e-06,W,CONDITIONAL,"SC switch: [DESIGN_SPECIFIED]. When switch open: G_sw_open=1e-8W/K -> P_leak=1e-8*(4-0.01)=4e-8W<<2e-6W (physics inequality satisfied under assumptions; not a PASS). Status=CONDITIONAL: switch DESIGN_SPECIFIED only — not installed, not cryo-tested.",Install Al SC switch. Verify G_sw_open < 1e-8 W/K by step-response.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
A2,B (Material Processing / LCVD Growth),4K Stage Handles LCVD Scatter,Q_scatter < P_cool_4K; 4K radiation shutter DESIGN_SPECIFIED,0.04593003134228415,1.0,mW,CONDITIONAL,Q_scatter=0.046mW from optics (spec). 4K stage spec: ~1W budget. Radiation shutter: [DESIGN_SPECIFIED]. Status=CONDITIONAL: physics calculation passes but shutter not installed to verify.,Install 4K OFHC Cu radiation shutter. Verify by bolometry during LCVD run.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
A3,B (Material Processing / LCVD Growth),Cold Optics Shielded by 4K Shutter,Q_rad(4K shutter->sample) < 1% sensing budget; shutter DESIGN_SPECIFIED,1451615.8512072961,43000000.0,aW,CONDITIONAL,Q_rad=1451616aW << threshold=4e+07aW (physics inequality satisfied under assumptions; not a PASS). 4K OFHC Cu shutter: [DESIGN_SPECIFIED]. Status=CONDITIONAL: shutter not installed — physics calc cannot be confirmed.,Install retractable 4K OFHC Cu shutter. Verify with bolometry.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
A4,B (Material Processing / LCVD Growth),He-3 Film Absent During Mode B Processing,He3_valve=CLOSED; confirmed by interlock IL-02,0,0,,CONDITIONAL,"He-3 valve / injection system: [DESIGN_SPECIFIED]. IL-02 (hardware interlock preventing concurrent He-3 and LCVD (mutually exclusive via hard interlock)): [DESIGN_SPECIFIED]. Status=CONDITIONAL: valve not installed, interlock not installed.",Install He-3 injection line. Install IL-02 hardware interlock.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
A5,B (Material Processing / LCVD Growth),Sensing Disabled During Mode B Processing,NV_readout_laser=OFF; ODMR_mw=OFF; enforced by IL-01,0,0,,CONDITIONAL,Hardware interlock IL-01: [DESIGN_SPECIFIED]. Status=CONDITIONAL: interlock not installed — sensing-off condition cannot be enforced.,"Install hardware interlocks IL-01 to IL-13 (physical, not software).",false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
A6,B (Material Processing / LCVD Growth),"Precursor beam-delivered, not chamber-fill",precursor delivered to target via PMB; chamber pressure < cryocondensation threshold,UNKNOWN,TBD,Pa,CONDITIONAL,"CONDITIONAL: precursor delivery mode unverified at 10 mK; no in-system measurement available. PMB doser: DESIGN_SPECIFIED, NOT_INSTALLED.",Install warm/differentially-pumped molecular beam line. Measure pressure profile and condensation map by witness coupon and QCM.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
A7,B (Material Processing / LCVD Growth),Precursor cryocondensation below limit,theta_precursor on cold shields < TBD; on sensing zone < TBD,UNKNOWN,TBD,%,CONDITIONAL,CONDITIONAL: cryocondensation extent unmeasured. Witness coupon + QCM + RGA NOT_INSTALLED.,Witness coupon + QCM + RGA after each Mode B pulse train at both growth zone and sensing zone.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
A8,B (Material Processing / LCVD Growth),Local surface T during deposition pulse measured,T_growth_surface measured during pulse; photolysis/pyrolysis threshold verified,UNKNOWN,TBD,K,BLOCKED,BLOCKED: no in-situ pump-probe thermometry at growth surface. Surface T during pulse cannot be assumed — must be measured.,Install pump-probe or fast thermometric measurement at growth surface.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
A9,B (Material Processing / LCVD Growth),Deposition yield per pulse measured,yield = atoms/pulse from witness coupon + QCM + AFM/Raman/XPS,UNKNOWN,TBD,atoms/pulse,BLOCKED,"BLOCKED: yield not measured. PRIMARY UNKNOWN for LCVD feasibility — without measured yield, Mode B LCVD is unverifiable.",Witness coupon + QCM + AFM + Raman + XPS post-pulse-train.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
A10,B (Material Processing / LCVD Growth),Growth-zone contamination does not reach sensing zone,theta_contamination on sensing-zone coupon < TBD,UNKNOWN,TBD,%,CONDITIONAL,CONDITIONAL: cross-contamination path unmeasured. Sensing-zone coupon + RGA NOT_INSTALLED.,Install sensing-zone witness coupon. RGA after each Mode B run.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
