from,to,result,guards,interlock_refs,justification,label,step,cycle
OFFLINE,INIT,TRANSITIONED,none,,operator power-on,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,1,0
INIT,PREP_VACUUM,TRANSITIONED,interlock_chain_ok is_true True [INIT self-check],,self-checks complete,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,2,0
PREP_VACUUM,PREP_VACUUM.PUMPDOWN,TRANSITIONED,none,,begin evacuation,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,3,0
PREP_VACUUM.PUMPDOWN,PREP_VACUUM.BAKEOUT,TRANSITIONED,none,,bakeout requires rough vacuum first (E01 procedure),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,4,0
PREP_VACUUM.BAKEOUT,PREP_VACUUM.POST_BAKEOUT_VERIFY,TRANSITIONED,none,,bakeout schedule complete (E01),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,5,0
PREP_VACUUM.POST_BAKEOUT_VERIFY,COOLDOWN,TRANSITIONED,P_H2_Pa <= 1e-12 [CHAMBER_STATE post_bakeout target],"IL-05,IL-06",cooldown requires post-bakeout UHV (contamination control),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,6,0
COOLDOWN,COOLDOWN.PRECOOL_UPSTREAM,TRANSITIONED,none,,staged chain begins upstream,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,7,0
COOLDOWN.PRECOOL_UPSTREAM,COOLDOWN.DILUTION_CONDENSE,TRANSITIONED,stage_4K_ready is_true True [canonical stage chain],,dilution condensation requires the 4 K stage,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,8,0
COOLDOWN.DILUTION_CONDENSE,COOLDOWN.BASE_APPROACH,TRANSITIONED,stage_100mK_ready is_true True [canonical stage chain],,base approach requires 100 mK,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,9,0
COOLDOWN.BASE_APPROACH,MODE_A_BASELINE,TRANSITIONED,T_probe_K <= 0.0105 [FridgeConfig T_fridge_K (5% band)],,baseline requires the sample thermalized at base,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,10,0
MODE_A_BASELINE,MODE_A_BASELINE.STABILIZE,TRANSITIONED,none,,settling dwell,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,11,0
MODE_A_BASELINE.STABILIZE,MODE_A_BASELINE.READY_IDLE,TRANSITIONED,dwell_s >= 3.183098861837907 [vibration max_settling_time_s (canonical)],,ready requires the settling dwell,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,12,0
MODE_A_BASELINE.READY_IDLE,MODE_B_PROCESS,TRANSITIONED,T_probe_K <= 0.0105 [baseline hold]; he3_present is_false True [gate A4],"IL-09,IL-10,IL-14",processing requires baseline readiness + MC protection available,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,13,1
MODE_B_PROCESS,MODE_B_PROCESS.B_PRECONFIG,TRANSITIONED,none,,configure before sources,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,14,1
MODE_B_PROCESS.B_PRECONFIG,MODE_B_PROCESS.B_GROWTH_ACTIVE,TRANSITIONED,sc_switch_open is_true True [gate A1 / IL-03],"IL-03,IL-01,IL-13,FSM-IL-15","growth requires the Mode-B hardware configuration (switch OPEN, A1)",MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,15,1
MODE_B_PROCESS.B_GROWTH_ACTIVE,MODE_B_PROCESS.B_SOURCE_OFF,TRANSITIONED,none,,growth window complete; sources stopped before hand-off,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,16,1
MODE_B_PROCESS.B_SOURCE_OFF,MODE_C_RECOVERY,TRANSITIONED,laser_off is_true True [hand-off semantics]; c13_feed_off is_true True [hand-off semantics],,recovery requires all growth inputs off,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,17,1
MODE_C_RECOVERY,MODE_C_RECOVERY.C_PURGE,TRANSITIONED,none,,purge first,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,18,1
MODE_C_RECOVERY.C_PURGE,MODE_C_RECOVERY.C_THERMAL_RECOVERY,TRANSITIONED,theta_c13_residual <= 1e-06 [canonical purge forecast floor (worst case 2.1e-9)],,thermal recovery follows the purge floor,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,19,1
MODE_C_RECOVERY.C_THERMAL_RECOVERY,MODE_C_RECOVERY.C_READINESS_VERIFY,TRANSITIONED,T_probe_K <= 0.05 [SolverConfig.mode_d_temp_threshold_K],,readiness snapshot requires the hand-off threshold,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,20,1
MODE_C_RECOVERY.C_READINESS_VERIFY,MODE_D_SENSE,TRANSITIONED,mode_b_complete is_true True [IL-11]; rga_ch4_clear is_true True [IL-05]; rga_h2_clear is_true True [IL-06],"IL-11,IL-05,IL-06",sensing requires a completed B->C cycle (IL-11) + clearances,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,21,1
MODE_D_SENSE,MODE_D_SENSE.D_PRECONFIG,TRANSITIONED,none,,isolation configuration,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,22,1
MODE_D_SENSE.D_PRECONFIG,MODE_D_SENSE.D_HE_DOSE,TRANSITIONED,sc_switch_open is_true True [IL-04]; sense_shutter_closed is_true True [gate A3 / FSM-IL-16],"IL-04,FSM-IL-16","dosing requires isolation (switch OPEN, IL-04) and shutter CLOSED",MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,23,1
MODE_D_SENSE.D_HE_DOSE,MODE_D_SENSE.D_SENSING_HOLD,REFUSED,guard not satisfied: vib_amplitude_m <= 1e-10 [IL-08 / mode_d_amp_threshold_m],IL-08,guard/interlock enforcement (honest refusal; identical every cycle),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,24,1
MODE_D_SENSE.D_HE_DOSE,MODE_D_SENSE.D_POST,TRANSITIONED,none,,dose closed without sensing (blocked or campaign end),MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,25,1
MODE_D_SENSE.D_POST,MODE_A_BASELINE,TRANSITIONED,he_dose_off is_true True [species policy],,return to baseline after the campaign,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,26,1
MODE_A_BASELINE,MODE_A_BASELINE.STABILIZE,TRANSITIONED,none,,settling dwell,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,27,1
MODE_A_BASELINE.STABILIZE,MODE_A_BASELINE.READY_IDLE,TRANSITIONED,dwell_s >= 3.183098861837907 [vibration max_settling_time_s (canonical)],,ready requires the settling dwell,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,28,1
MODE_A_BASELINE.READY_IDLE,MODE_B_PROCESS,TRANSITIONED,T_probe_K <= 0.0105 [baseline hold]; he3_present is_false True [gate A4],"IL-09,IL-10,IL-14",processing requires baseline readiness + MC protection available,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,29,2
MODE_B_PROCESS,MODE_B_PROCESS.B_PRECONFIG,TRANSITIONED,none,,configure before sources,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,30,2
MODE_B_PROCESS.B_PRECONFIG,MODE_B_PROCESS.B_GROWTH_ACTIVE,TRANSITIONED,sc_switch_open is_true True [gate A1 / IL-03],"IL-03,IL-01,IL-13,FSM-IL-15","growth requires the Mode-B hardware configuration (switch OPEN, A1)",MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,31,2
MODE_B_PROCESS.B_GROWTH_ACTIVE,MODE_B_PROCESS.B_SOURCE_OFF,TRANSITIONED,none,,growth window complete; sources stopped before hand-off,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM,32,2
