path,disposition,phase,rationale,evidence
.dockerignore,KEEP_AS_IS,-,Container context.,
.github/workflows/agent-substrate.yml,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Substrate CI; new mutation spec wired in Phase 1.,
.github/workflows/claude.yml,KEEP_AS_IS,-,Assistant workflow.,
.github/workflows/container-verify.yml,KEEP_AS_IS,-,Container verification.,
.github/workflows/identity-discovery.yml,KEEP_AS_IS,-,Identity discovery.,
.github/workflows/release.yml,REWRITE_GENERIC,2-7 (see rationale),Release workflow; QTA payload expectations retire (Phase 7).,
.github/workflows/stack-verify.yml,REWRITE_GENERIC,2-7 (see rationale),Runs qta_full_sim/PCC byte gate; rewritten with the workflow (Phase 6).,
.gitignore,KEEP_AS_IS,-,Ignore rules.,
AGENT_SUBSTRATE.md,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Substrate design record; updated with Phase 1 changes.,
ARCHITECTURE_CONVERGENCE_PLAN.md,KEEP_AND_HARDEN,1 (this tranche) / ongoing,NEW Phase 0 artefact.,
AUTHORITIES.md,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Enforcement-point registry (human half).,
BOM.csv,RETIRE_TO_HISTORY,5,BOM completeness is not a software requirement (directive s4).,
CLAIMS_BOUNDARY.md,REWRITE_GENERIC,2-7 (see rationale),Framework claims boundary: keep 'no experimental validation from simulation'; drop QTA machine claims.,
DEPENDENCY_CUTOVER.md,KEEP_AND_HARDEN,1 (this tranche) / ongoing,NEW Phase 0 artefact.,
Dockerfile,KEEP_AS_IS,-,Reproducible container.,
EVIDENCE_CLOSURE.md,REWRITE_GENERIC,2-7 (see rationale),Evidence closure narrative.,
EXPERIMENT_PLAYBOOKS/EXP-N0.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
EXPERIMENT_PLAYBOOKS/EXP-N1.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
EXPERIMENT_PLAYBOOKS/EXP-N2.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
EXPERIMENT_PLAYBOOKS/EXP-N3.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
EXPERIMENT_PLAYBOOKS/EXP-N4.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
EXPERIMENT_PLAYBOOKS/EXP-P1.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
EXPERIMENT_PLAYBOOKS/EXP-S1.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
EXPERIMENT_PLAYBOOKS/EXP-T1.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
EXPERIMENT_PLAYBOOKS/EXP-T2.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
EXPERIMENT_PLAYBOOKS/EXP-V1.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
EXPERIMENT_PLAYBOOKS/EXP-V2.md,RETIRE_TO_HISTORY,5,Playbooks for the abandoned apparatus.,directive s4
FILE_DISPOSITION.csv,KEEP_AND_HARDEN,1 (this tranche) / ongoing,NEW Phase 0 artefact (this file).,
FIRST_VALIDATION_EXPERIMENTS.md,RETIRE_TO_HISTORY,5,Apparatus validation experiments.,directive s4
GATE_TABLE_README.md,RETIRE_TO_HISTORY,5,83-gate table.,directive s4
GLOSSARY.md,REWRITE_GENERIC,2-7 (see rationale),Framework vocabulary.,
HARDWARE_GOVERNANCE.md,RETIRE_TO_HISTORY,5,Hardware governance.,directive s4
HDF5_DATA_MODEL.md,REWRITE_GENERIC,2-7 (see rationale),HDF5 data model without the 88-output payload.,
INSTALL.md,KEEP_AS_IS,-,Installation.,
MACHINE_FSM.md,RETIRE_TO_HISTORY,5,Physical machine FSM.,directive s4
MANIFEST_BOUNDARY.md,REWRITE_GENERIC,2-7 (see rationale),Manifest coverage boundary for the new release set.,
MANUSCRIPT_CHANGELOG.md,RETIRE_TO_HISTORY,5,Manuscript history.,directive s4
